Number,Name,lat,lon
10223,BOW 2,48.6364,-122.3539
10224,TACOMA 14 1,47.1045,-122.4286
10225,TACOMA 14 2,47.1045,-122.4286
10226,TACOMA 15 1,47.1903,-122.3378
10227,SEATTLE 1 1,47.6876,-122.5045
10228,SEATTLE 2 1,47.6146,-122.3262
10229,SEATTLE 3 1,47.5031,-122.3274
10230,SPANAWAY 1 1,47.104,-122.3977
10231,SPANAWAY 2 1,47.0282,-122.4126
10232,TACOMA 16 1,47.3025,-122.3114
10233,SEATTLE 4 1,47.6998,-122.3092
10234,SEATTLE 4 2,47.6998,-122.3092
10235,SEATTLE 5 1,47.7826,-122.4907
10236,SEATTLE 5 2,47.7826,-122.4907
10237,CAMAS 1 1,45.6124,-122.3288
10238,CAMAS 2 1,45.644,-122.3438
10239,SEATTLE 6 1,47.5435,-122.32
10240,SEATTLE 6 2,47.5435,-122.32
10241,SEATTLE 7 1,47.6768,-122.2821
10242,SEATTLE 8 1,47.6954,-122.3847
10243,SEATTLE 8 2,47.6954,-122.3847
10244,MOUNT VERNON 1 1,48.3831,-122.4006
10245,MOUNT VERNON 2 1,48.3917,-122.4014
10246,MOUNT VERNON 2 2,48.3917,-122.4014
10247,TACOMA 17 1,47.2016,-122.3085
10248,EDMONDS 1 1,47.8798,-122.5139
10249,SEATTLE 9 1,47.7031,-122.3365
10250,FEDERAL WAY 1 1,47.2992,-122.4149
10251,FEDERAL WAY 2 1,47.2213,-122.4261
10252,SEATTLE 10 1,47.4004,-122.3284
10253,SEATTLE 10 2,47.4004,-122.3284
10254,SEATTLE 11 1,47.4459,-122.3408
10255,SEATTLE 11 2,47.4459,-122.3408
10256,TACOMA 18 1,47.2861,-122.3754
10257,TACOMA 18 2,47.2861,-122.3754
10258,TACOMA 18 3,47.2861,-122.3754
10259,SEATTLE 12 1,47.3627,-122.3251
10260,SEATTLE 13 1,47.6889,-122.2723
10261,SEATTLE 14 1,47.6404,-122.4151
10262,SEATTLE 14 2,47.6404,-122.4151
10263,BURLINGTON 1 1,48.4514,-122.4164
10264,SEATTLE 15 1,47.6603,-122.3366
10265,SEATTLE 15 2,47.6603,-122.3366
10266,SEATTLE 15 3,47.6603,-122.3366
10267,YACOLT 1,45.7986,-122.3109
10268,SEATTLE 16 1,47.8251,-122.313
10269,SEATTLE 16 2,47.8251,-122.313
10270,SEATTLE 17 1,47.72,-122.3755
10271,SEATTLE 17 2,47.72,-122.3755
10272,SEATTLE 18 1,47.6366,-122.3985
10273,SEATTLE 19 1,47.7292,-122.3305
10274,SEATTLE 20 1,47.665,-122.2413
10275,EDMONDS 2 1,47.8822,-122.246
10276,EDMONDS 2 2,47.8822,-122.246
10277,EDMONDS 3 1,47.9219,-122.3134
10278,EVERSON 1,48.906,-122.3142
10279,EVERSON 2,48.906,-122.3142
10280,EVERSON 3,48.906,-122.3142
10281,EVERSON 4,48.906,-122.3142
10282,EVERSON 5,48.906,-122.3142
10283,SEATTLE 21 1,47.5328,-122.3198
10284,SEATTLE 21 2,47.5328,-122.3198
10285,SEATTLE 22 1,47.4956,-122.2294
10286,PUYALLUP 1 1,47.1462,-122.3443
10287,PUYALLUP 2 1,47.2703,-122.268
10288,PUYALLUP 2 2,47.2703,-122.268
10289,PUYALLUP 3 1,47.0533,-122.2238
10290,PUYALLUP 4 1,47.1606,-122.3991
10291,SEATTLE 23 1,47.713,-122.3468
10292,SEATTLE 23 2,47.713,-122.3468
10293,FEDERAL WAY 3 1,47.3951,-122.271
10294,FEDERAL WAY 4 1,47.2423,-122.3432
10295,FEDERAL WAY 4 2,47.2423,-122.3432
10296,SEATTLE 24 1,47.3349,-122.263
10297,SEATTLE 24 2,47.3349,-122.263
10298,SEATTLE 25 1,47.313,-122.3407
10299,SEATTLE 25 2,47.313,-122.3407
10300,STANWOOD 1,48.2045,-122.317
10301,STANWOOD 2,48.2045,-122.317
10302,MOUNTLAKE TERRACE 1,47.8313,-122.2359
10303,MOUNTLAKE TERRACE 2,47.8313,-122.2359
10304,MOUNTLAKE TERRACE 3,47.8313,-122.2359
10305,MOUNTLAKE TERRACE 4,47.8313,-122.2359
10306,SEATTLE 26 1,47.5936,-122.2961
10307,MUKILTEO 1,47.8987,-122.2226
10308,MUKILTEO 2,47.8987,-122.2226
10309,SEATTLE 27 1,47.6909,-122.2958
10310,SEATTLE 28 1,47.7631,-122.3162
10311,SEATTLE 29 1,47.421,-122.3494
10312,SEATTLE 29 2,47.421,-122.3494
10313,SEATTLE 29 3,47.421,-122.3494
10314,SEATTLE 30 1,47.4298,-122.2984
10315,SEATTLE 31 1,47.7113,-122.307
10316,SEATTLE 32 1,47.6398,-122.2635
10317,SEATTLE 32 2,47.6398,-122.2635
10318,SEATTLE 33 1,47.7043,-122.2683
10319,SEATTLE 34 1,47.6408,-122.3395
10320,SEATTLE 34 2,47.6408,-122.3395
10321,SEATTLE 35 1,47.6708,-122.3661
10322,SEATTLE 36 1,47.6468,-122.2856
10323,SEATTLE 37 1,47.6732,-122.3372
10324,LYNNWOOD 1 1,47.9233,-122.3768
10325,LYNNWOOD 1 2,47.9233,-122.3768
10326,LYNNWOOD 2 1,47.815,-122.3213
10327,SEATTLE 38 1,47.653,-122.2187
10328,SEATTLE 38 2,47.653,-122.2187
10329,SEATTLE 38 3,47.653,-122.2187
10330,SEATTLE 39 1,47.6345,-122.2632
10331,SEATTLE 39 2,47.6345,-122.2632
10332,SEATTLE 39 3,47.6345,-122.2632
10333,SEATTLE 40 1,47.7292,-122.3225
10334,SEATTLE 40 2,47.7292,-122.3225
10335,SEATTLE 40 3,47.7292,-122.3225
10336,SEATTLE 40 4,47.7292,-122.3225
10337,SEATTLE 40 5,47.7292,-122.3225
10338,SEATTLE 41 1,47.625,-122.1978
10339,LYNNWOOD 3 1,47.8153,-122.3666
10340,LYNNWOOD 4 1,47.8516,-122.3364
10341,LYNNWOOD 4 2,47.8516,-122.3364
10342,LYNNWOOD 4 3,47.8516,-122.3364
10343,GRAHAM 1,47.0349,-122.1843
10344,GRAHAM 2,47.0349,-122.1843
10345,GRAHAM 3,47.0349,-122.1843
10346,SEATTLE 42 1,47.5253,-122.244
10347,SEATTLE 42 2,47.5253,-122.244
10348,SEATTLE 42 3,47.5253,-122.244
10349,SEATTLE 42 4,47.5253,-122.244
10350,SEATTLE 42 5,47.5253,-122.244
10351,SEATTLE 42 6,47.5253,-122.244
10352,SEATTLE 42 7,47.5253,-122.244
10353,SEATTLE 42 8,47.5253,-122.244
10354,SEATTLE 43 1,47.4522,-122.2081
10355,SEATTLE 44 1,47.507,-122.2059
10356,LYNNWOOD 5 1,47.8401,-122.2303
10357,LYNNWOOD 6 1,47.8719,-122.2624
10358,LYNNWOOD 6 2,47.8719,-122.2624
10359,LYNNWOOD 6 3,47.8719,-122.2624
10360,LYNNWOOD 6 4,47.8719,-122.2624
10361,PUYALLUP 5 1,47.1506,-122.3466
10362,AUBURN 1 1,47.368,-122.2755
10363,AUBURN 2 1,47.2525,-122.3333
10364,AUBURN 2 2,47.2525,-122.3333
10365,PUYALLUP 6 1,47.1096,-122.3556
10366,PUYALLUP 6 2,47.1096,-122.3556
10367,PUYALLUP 7 1,47.2232,-122.3217
10368,EVERETT 1 1,47.8443,-122.2751
10369,EVERETT 2 1,47.9909,-122.1751
10370,EVERETT 2 2,47.9909,-122.1751
10371,KENT 1 1,47.3465,-122.2838
10372,KENT 1 2,47.3465,-122.2838
10373,KENT 1 3,47.3465,-122.2838
10374,KENT 2 1,47.4797,-122.3342
10375,KENMORE 1,47.7533,-122.2897
10376,KENMORE 2,47.7533,-122.2897
10377,SEATTLE 45 1,47.5762,-122.154
10378,WASHOUGAL 1,45.6682,-122.2121
10379,WASHOUGAL 2,45.6682,-122.2121
10380,MARYSVILLE 1 1,48.1583,-122.2755
10381,MARYSVILLE 2 1,48.0128,-122.1966
10382,MARYSVILLE 2 2,48.0128,-122.1966
10383,MERCER ISLAND 1,47.6218,-122.269
10384,MERCER ISLAND 2,47.6218,-122.269
10385,EVERETT 3 1,47.8893,-122.2525
10386,EVERETT 3 2,47.8893,-122.2525
10387,EVERETT 4 1,47.9502,-122.2946
10388,EVERETT 4 2,47.9502,-122.2946
10389,EVERETT 4 3,47.9502,-122.2946
10390,SUMNER 1,47.2663,-122.1629
10391,RENTON 1 1,47.5072,-122.1567
10392,RENTON 1 2,47.5072,-122.1567
10393,AUBURN 3 1,47.3545,-122.2601
10394,AUBURN 4 1,47.3152,-122.1294
10395,KIRKLAND 1 1,47.8022,-122.219
10396,KIRKLAND 2 1,47.7388,-122.2157
10397,EVERETT 5 1,48.0627,-122.2856
10398,EVERETT 6 1,47.958,-122.1908
10399,BOTHELL 1 1,47.8138,-122.287
10400,BOTHELL 1 2,47.8138,-122.287
10401,BOTHELL 1 3,47.8138,-122.287
10402,BOTHELL 2 1,47.8688,-122.23
10403,BOTHELL 2 2,47.8688,-122.23
10404,BOTHELL 2 3,47.8688,-122.23
10405,BOTHELL 2 4,47.8688,-122.23
10406,BELLEVUE 1 1,47.5984,-122.1913
10407,BELLEVUE 2 1,47.537,-122.2587
10408,BOTHELL 3 1,47.7109,-122.2279
10409,BOTHELL 4 1,47.7242,-122.2399
10410,RENTON 2 1,47.4854,-122.1696
10411,BOTHELL 5 1,47.8217,-122.1884
10412,BOTHELL 6 1,47.782,-122.1037
10413,BOTHELL 6 2,47.782,-122.1037
10414,KENT 3 1,47.3594,-122.2714
10415,KENT 3 2,47.3594,-122.2714
10416,KENT 4 1,47.349,-122.2381
10417,KENT 5 1,47.3235,-122.2233
10418,KENT 6 1,47.3765,-122.2195
10419,KENT 6 2,47.3765,-122.2195
10420,KIRKLAND 3 1,47.7263,-122.1558
10421,KIRKLAND 4 1,47.7358,-122.0945
10422,RENTON 3 1,47.4739,-122.2459
10423,RENTON 3 2,47.4739,-122.2459
10424,RENTON 4 1,47.4626,-122.1128
10425,RENTON 4 2,47.4626,-122.1128
10426,EVERETT 7 1,47.8353,-122.0894
10427,EVERETT 8 1,47.8077,-122.2025
10428,EVERETT 8 2,47.8077,-122.2025
10429,EVERETT 8 3,47.8077,-122.2025
10430,BELLEVUE 3 1,47.6034,-122.2057
10431,BELLEVUE 3 2,47.6034,-122.2057
10432,BONNEY LAKE 1 1,47.145,-122.0839
10433,BONNEY LAKE 1 2,47.145,-122.0839
10434,BONNEY LAKE 2 1,47.116,-122.0778
10435,EATONVILLE 1,46.8799,-122.1599
10436,BELLEVUE 4 1,47.5212,-122.2423
10437,BELLEVUE 5 1,47.5196,-122.2337
10438,BELLEVUE 5 2,47.5196,-122.2337
10439,EVERETT 9 1,48.0135,-122.1724
10440,MARYSVILLE 3 1,48.0409,-122.1041
10441,MARYSVILLE 4 1,48.0427,-122.1697
10442,MOUNT VERNON 3 1,48.3909,-122.1358
10443,MOUNT VERNON 3 2,48.3909,-122.1358
10444,MOUNT VERNON 3 3,48.3909,-122.1358
10445,BELLEVUE 6 1,47.6734,-122.1571
10446,BELLEVUE 6 2,47.6734,-122.1571
10447,WOODINVILLE 1 1,47.8101,-122.1937
10448,WOODINVILLE 1 2,47.8101,-122.1937
10449,AUBURN 5 1,47.3361,-122.0951
10450,AUBURN 6 1,47.3826,-122.0522
10451,AUBURN 6 2,47.3826,-122.0522
10452,RENTON 5 1,47.486,-122.1399
10453,RENTON 6 1,47.5182,-122.2113
10454,RENTON 6 2,47.5182,-122.2113
10455,RENTON 6 3,47.5182,-122.2113
10456,SEDRO WOOLLEY 1,48.5591,-122.0614
10457,MAPLE FALLS 1,48.8663,-122.0628
10458,REDMOND 1 1,47.6987,-122.1622
10459,REDMOND 2 1,47.73,-122.1766
10460,REDMOND 2 2,47.73,-122.1766
10461,KENT 7 1,47.4375,-122.1672
10462,KENT 8 1,47.352,-122.0534
10463,KENT 8 2,47.352,-122.0534
10464,RENTON 7 1,47.5654,-122.1358
10465,RENTON 8 1,47.5841,-122.0441
10466,SNOHOMISH 1 1,47.7753,-122.0228
10467,SNOHOMISH 2 1,47.7964,-122.1792
10468,BELLEVUE 7 1,47.5722,-122.1022
10469,BELLEVUE 7 2,47.5722,-122.1022
10470,LAKE STEVENS 1 1,48.0716,-121.9854
10471,LAKE STEVENS 1 2,48.0716,-121.9854
10472,LAKE STEVENS 1 3,48.0716,-121.9854
10473,LAKE STEVENS 2 1,47.9546,-122.1145
10474,LAKE STEVENS 2 2,47.9546,-122.1145
10475,BUCKLEY 1,47.2107,-122.1586
10476,CARSON 1 1,45.7705,-122.0414
10477,WOODINVILLE 2 1,47.7174,-122.0227
10478,SAMMAMISH 1 1,47.6539,-122.0828
10479,SAMMAMISH 1 2,47.6539,-122.0828
10480,SAMMAMISH 1 3,47.6539,-122.0828
10481,SAMMAMISH 2 1,47.6533,-122.0662
10482,SAMMAMISH 2 2,47.6533,-122.0662
10483,SAMMAMISH 3 1,47.53,-122.1057
10484,REDMOND 3 1,47.6984,-122.0532
10485,ISSAQUAH 1 1,47.5088,-122.0445
10486,ISSAQUAH 2 1,47.4204,-121.9987
10487,ISSAQUAH 3 1,47.5484,-122.0213
10488,SNOHOMISH 3 1,47.8617,-121.9757
10489,SNOHOMISH 4 1,47.8765,-122.083
10490,MAPLE VALLEY 1 1,47.3322,-121.9725
10491,MAPLE VALLEY 1 2,47.3322,-121.9725
10492,MAPLE VALLEY 2 1,47.5141,-122.0525
10493,STEVENSON 1,45.6247,-122.022
10494,STEVENSON 2,45.6247,-122.022
10495,ARLINGTON 1 1,48.2871,-122.0393
10496,ARLINGTON 2 1,48.1649,-121.8771
10497,ARLINGTON 2 2,48.1649,-121.8771
10498,ENUMCLAW 1,47.1536,-121.891
10499,ENUMCLAW 2,47.1536,-121.891
10500,ENUMCLAW 3,47.1536,-121.891
10501,ENUMCLAW 4,47.1536,-121.891
10502,FALL CITY 1 1,47.6184,-121.8165
10503,MONROE 1 1,47.8344,-121.8045
10504,MONROE 2 1,47.9353,-121.822
10505,CARNATION 1,47.7267,-121.8989
10506,DUVALL 1,47.72,-121.7903
10507,DUVALL 2,47.72,-121.7903
10508,SNOQUALMIE 1,47.6707,-121.7131
10509,SNOQUALMIE 2,47.6707,-121.7131
10510,SNOQUALMIE 3,47.6707,-121.7131
10511,SNOQUALMIE 4,47.6707,-121.7131
10512,SULTAN 1 1,47.8719,-121.7739
10513,SULTAN 1 2,47.8719,-121.7739
10514,GRANITE FALLS 1,48.0007,-121.5981
10515,NORTH BEND 1 1,47.4476,-121.6204
10516,GOLD BAR 1,47.8387,-121.687
10517,WHITE SALMON 1,45.8583,-121.5203
10518,DARRINGTON 1,48.2191,-121.3076
10519,NACHES 1,46.8228,-121.2838
10520,LYLE 1,45.6573,-121.1343
10521,LYLE 2,45.6573,-121.1343
10522,LYLE 3,45.6573,-121.1343
10523,YAKIMA 1 1,46.52,-121.0523
10524,CLE ELUM 1 1,47.2783,-120.851
10525,LEAVENWORTH 1,47.8317,-120.8987
10526,GOLDENDALE 1 1,45.9276,-120.7174
10527,WHITE SWAN 1,46.292,-120.7814
10528,WHITE SWAN 2,46.292,-120.7814
10529,YAKIMA 2 1,46.6481,-120.6778
10530,YAKIMA 3 1,46.7045,-120.6828
10531,SELAH 1,46.873,-120.7266
10532,YAKIMA 4 1,46.5831,-120.4686
10533,YAKIMA 4 2,46.5831,-120.4686
10534,YAKIMA 5 1,46.6723,-120.4699
10535,YAKIMA 5 2,46.6723,-120.4699
10536,WAPATO 1,46.5432,-120.569
10537,CASHMERE 1,47.4854,-120.4823
10538,CASHMERE 2,47.4854,-120.4823
10539,CASHMERE 3,47.4854,-120.4823
10540,ELLENSBURG 1 1,47.0315,-120.5322
10541,ELLENSBURG 2 1,46.9945,-120.431
10542,YAKIMA 6 1,46.7656,-120.4236
10543,YAKIMA 7 1,46.8168,-120.485
10544,YAKIMA 7 2,46.8168,-120.485
10545,YAKIMA 7 3,46.8168,-120.485
10546,CHELAN 1,48.0169,-120.3323
10547,CHELAN 2,48.0169,-120.3323
10548,WENATCHEE 1 1,47.3425,-120.2772
10549,WENATCHEE 1 2,47.3425,-120.2772
10550,WENATCHEE 2 1,47.4248,-120.3269
10551,WINTHROP 1,48.5775,-120.4117
10552,WINTHROP 2,48.5775,-120.4117
10553,WINTHROP 3,48.5775,-120.4117
10554,TOPPENISH 1,46.2344,-120.2942
10555,TWISP 1,48.3329,-120.338
10556,TWISP 2,48.3329,-120.338
10557,ZILLAH 1,46.4421,-120.1847
10558,EAST WENATCHEE 1 1,47.4908,-120.1183
10559,EAST WENATCHEE 2 1,47.4767,-120.147
10560,MALAGA 1,47.2553,-120.1645
10561,MALAGA 2,47.2553,-120.1645
10562,MALAGA 3,47.2553,-120.1645
10563,MANSON 1,47.9079,-120.0414
10564,MANSON 2,47.9079,-120.0414
