fbus,tbus,rateA
25675,28078,99999
25675,25830,99999
25675,25714,99999
25675,26100,99999
25675,26133,99999
25714,28667,99999
25714,28549,99999
25714,28365,99999
25714,28122,99999
25714,28099,99999
25714,28078,99999
25714,25830,99999
25714,30220,99999
25714,30207,99999
25714,30374,99999
25714,26100,99999
25714,26133,99999
25830,28667,99999
25830,28549,99999
25830,28365,99999
25830,28099,99999
25830,28078,99999
25830,26100,99999
25830,26133,99999
26100,28667,99999
26100,28549,99999
26100,28365,99999
26100,28122,99999
26100,28099,99999
26100,28078,99999
26100,26133,99999
26133,28099,99999
26133,28078,99999
26133,30001,99999
28078,28667,99999
28078,28549,99999
28078,28365,99999
28078,28122,99999
28078,28099,99999
28099,28667,99999
28099,28549,99999
28099,28365,99999
28099,28122,99999
28099,40004,99999
28099,30220,99999
28099,30207,99999
28099,30374,99999
28099,40844,99999
28365,28667,99999
28365,28549,99999
28365,40994,99999
28365,40961,99999
28365,40160,99999
28365,40008,99999
28365,40004,99999
28365,30374,99999
28365,40844,99999
28549,28667,99999
28549,40994,99999
28549,40961,99999
28549,40367,99999
28549,40369,99999
28549,40003,99999
28549,40160,99999
28549,40008,99999
28549,40004,99999
28549,40281,99999
28549,30220,99999
28549,30207,99999
28549,30374,99999
28549,40279,99999
28549,40162,99999
28549,40844,99999
28667,40994,99999
28667,40961,99999
28667,40004,99999
28667,30220,99999
28667,30207,99999
28667,30374,99999
28667,40844,99999
30001,50024,99999
30001,74104,99999
30144,40787,99999
30144,30221,99999
30144,30146,99999
30144,30205,99999
30144,30220,99999
30144,30207,99999
30144,30374,99999
30146,40787,99999
30146,30221,99999
30146,30205,99999
30146,30220,99999
30146,30207,99999
30146,30374,99999
30205,50000,99999
30205,40787,99999
30205,30221,99999
30205,30220,99999
30205,30207,99999
30205,30374,99999
30207,50024,99999
30207,50000,99999
30207,40787,99999
30207,40008,99999
30207,30221,99999
30207,30220,99999
30207,30374,99999
30220,50024,99999
30220,50000,99999
30220,40787,99999
30220,40008,99999
30220,30221,99999
30220,30374,99999
30221,50024,99999
30221,50000,99999
30221,40787,99999
30221,30374,99999
30374,50024,99999
30374,40787,99999
30374,40008,99999
40001,40003,99999
40001,40004,99999
40003,40004,99999
40003,40050,99999
40004,40994,99999
40004,40961,99999
40004,40367,99999
40004,40369,99999
40004,40160,99999
40004,40008,99999
40004,40281,99999
40004,40279,99999
40004,40162,99999
40004,40844,99999
40006,40008,99999
40008,40994,99999
40008,40787,99999
40008,40844,99999
40050,40994,99999
40050,40844,99999
40160,40994,99999
40160,40961,99999
40160,40367,99999
40160,40369,99999
40160,40787,99999
40160,40595,99999
40160,40281,99999
40160,40279,99999
40160,40162,99999
40160,40844,99999
40162,40994,99999
40162,40961,99999
40162,40367,99999
40162,40369,99999
40162,40787,99999
40162,40595,99999
40162,40281,99999
40162,40279,99999
40162,40844,99999
40279,40994,99999
40279,40961,99999
40279,40367,99999
40279,40369,99999
40279,40787,99999
40279,40595,99999
40279,40281,99999
40279,40844,99999
40281,80007,99999
40281,40994,99999
40281,40961,99999
40281,40367,99999
40281,40369,99999
40281,40787,99999
40281,40595,99999
40281,40844,99999
40367,80007,99999
40367,40994,99999
40367,40961,99999
40367,40369,99999
40367,40691,99999
40367,40595,99999
40367,40844,99999
40369,80007,99999
40369,40994,99999
40369,40961,99999
40369,40691,99999
40369,40595,99999
40369,40844,99999
40595,80007,99999
40595,40994,99999
40595,40961,99999
40595,40691,99999
40595,40844,99999
40602,40691,99999
40691,60194,99999
40691,60003,99999
40691,40994,99999
40691,40961,99999
40691,40844,99999
40787,50316,99999
40787,50024,99999
40787,50000,99999
40787,40994,99999
40787,40844,99999
40844,80007,99999
40844,40994,99999
40844,40961,99999
40961,80007,99999
40961,40994,99999
40994,80007,99999
50000,50316,99999
50000,50024,99999
50007,70155,99999
50007,50316,99999
50007,50196,99999
50007,50024,99999
50024,70155,99999
50024,50316,99999
50024,50196,99999
50196,70155,99999
50196,70000,99999
50196,50316,99999
50316,70155,99999
50316,70000,99999
53000,53002,99999
53002,60577,99999
53012,80007,99999
60000,60194,99999
60000,60003,99999
60003,60194,99999
60194,77001,99999
60194,70063,99999
60194,60577,99999
70000,70155,99999
70000,70016,99999
70016,77001,99999
70016,70063,99999
70063,77001,99999
74001,74104,99999
74053,74235,99999
74053,77173,99999
74132,77001,99999
74132,74235,99999
74235,77173,99999
